,_id,Event,Latitude,Longitude,Date
12082,643de86b67b0dd3f92630e1b,{'Date': '2008-02-08'},474113N,0013526E,2008-02-08
12079,643de86b67b0dd3f92630e18,{'Date': '2008-02-08'},434011N,0923618W,2008-02-08
12083,643de86b67b0dd3f92630e1c,{'Date': '2008-02-08'},391523N,0893654W,2008-02-08
12084,643de86b67b0dd3f92630e1d,{'Date': '2008-02-08'},029320N,0805656W,2008-02-08
12081,643de86b67b0dd3f92630e1a,{'Date': '2008-02-08'},325614N,0844146W,2008-02-08
12090,643de86b67b0dd3f92630e23,{'Date': '2008-02-09'},033148N,0964833W,2008-02-09
12088,643de86b67b0dd3f92630e21,{'Date': '2008-02-09'},414728N,0111515W,2008-02-09
12089,643de86b67b0dd3f92630e22,{'Date': '2008-02-09'},325014N,1055916W,2008-02-09
12093,643de86b67b0dd3f92630e26,{'Date': '2008-02-09'},302347N,0084210W,2008-02-09
12091,643de86b67b0dd3f92630e24,{'Date': '2008-02-09'},037571N,0107543W,2008-02-09
12092,643de86b67b0dd3f92630e25,{'Date': '2008-02-09'},036121N,0813933W,2008-02-09
12087,643de86b67b0dd3f92630e20,{'Date': '2008-02-09'},342546N,0118452W,2008-02-09
12094,643de86b67b0dd3f92630e27,{'Date': '2008-02-10'},030257N,0095334W,2008-02-10
12095,643de86b67b0dd3f92630e28,{'Date': '2008-02-10'},334454N,0010241W,2008-02-10
12096,643de86b67b0dd3f92630e29,{'Date': '2008-02-10'},033495N,1115352W,2008-02-10
12097,643de86b67b0dd3f92630e2a,{'Date': '2008-02-10'},451114N,0109162W,2008-02-10
12098,643de86b67b0dd3f92630e2b,{'Date': '2008-02-10'},263612N,0821311W,2008-02-10
12099,643de86b67b0dd3f92630e2d,{'Date': '2008-02-10'},003464N,0084940W,2008-02-10
12100,643de86b67b0dd3f92630e2f,{'Date': '2008-02-11'},634616N,0243352W,2008-02-11
12101,643de86b67b0dd3f92630e30,{'Date': '2008-02-11'},012390S,0132530E,2008-02-11
12102,643de86b67b0dd3f92630e31,{'Date': '2008-02-12'},393412N,1045057W,2008-02-12
12105,643de86b67b0dd3f92630e37,{'Date': '2008-02-13'},383414N,0090922W,2008-02-13
12106,643de86b67b0dd3f92630e38,{'Date': '2008-02-13'},374136N,1214913W,2008-02-13
12107,643de86b67b0dd3f92630e39,{'Date': '2008-02-13'},039440N,0773327W,2008-02-13
12108,643de86b67b0dd3f92630e3a,{'Date': '2008-02-13'},024230S,0011510E,2008-02-13
12103,643de86b67b0dd3f92630e34,{'Date': '2008-02-13'},038858N,0981913W,2008-02-13
12104,643de86b67b0dd3f92630e36,{'Date': '2008-02-13'},193720N,1545150W,2008-02-13
12109,643de86b67b0dd3f92630e3b,{'Date': '2008-02-14'},294140N,0821630W,2008-02-14
12110,643de86b67b0dd3f92630e3c,{'Date': '2008-02-14'},213446N,1581150W,2008-02-14
12111,643de86b67b0dd3f92630e3d,{'Date': '2008-02-15'},039234N,0844024W,2008-02-15
12112,643de86b67b0dd3f92630e3e,{'Date': '2008-02-15'},282617N,0811853W,2008-02-15
12113,643de86b67b0dd3f92630e3f,{'Date': '2008-02-15'},452746N,0069335W,2008-02-15
12116,643de86b67b0dd3f92630e42,{'Date': '2008-02-16'},271640N,0080359W,2008-02-16
12114,643de86b67b0dd3f92630e40,{'Date': '2008-02-16'},481342N,1222156W,2008-02-16
12115,643de86b67b0dd3f92630e41,{'Date': '2008-02-16'},045352N,0122375W,2008-02-16
12118,643de86b67b0dd3f92630e44,{'Date': '2008-02-16'},433259N,0905249W,2008-02-16
12123,643de86b67b0dd3f92630e49,{'Date': '2008-02-16'},352229N,0861428W,2008-02-16
12117,643de86b67b0dd3f92630e43,{'Date': '2008-02-16'},382726N,0012336W,2008-02-16
12119,643de86b67b0dd3f92630e45,{'Date': '2008-02-17'},374715N,0097732W,2008-02-17
12120,643de86b67b0dd3f92630e46,{'Date': '2008-02-17'},324934N,1165821W,2008-02-17
12121,643de86b67b0dd3f92630e47,{'Date': '2008-02-17'},481122N,1142248W,2008-02-17
12122,643de86b67b0dd3f92630e48,{'Date': '2008-02-17'},385130N,0077230W,2008-02-17
12124,643de86b67b0dd3f92630e4a,{'Date': '2008-02-18'},391644N,1205859W,2008-02-18
