Air_Carrier,Event_Date,Country,Location,Airport_Name,Latitude,Longitude,Weather_Condition,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,City,State,Countries,Country_Fatal,Country_Uninjured,US_States,States_Fatal,States_Uninjured
David Matthews,2/17/2012,United States,"Jasper, GA",Pickens County Airport,342712N,0842726W,VMC,0,0,2,0,Jasper, GA,,,,,,
DANGBERG DENNIS,2/17/2012,United States,"Lancaster, WI",Lancaster Municipal Airport,424746N,0904049W,VMC,0,0,0,1,Lancaster, WI,,,,,,
David Lee Bradley Productions Inc,2/17/2012,United States,"Temecula, CA",French Valley Airport,333154N,0011730W,VMC,0,0,0,9,Temecula, CA,,,,,,
STANDHART GARY,2/18/2012,United States,"South Fork, CO",Morning Shadow,374425N,1063132W,VMC,0,0,0,1,South Fork, CO,,,,,,
Jimmie E. Meadows,2/18/2012,United States,"Rawlins, WY",Rawlins Municipal Airport,414918N,1071249W,VMC,0,0,0,3,Rawlins, WY,,,,,,
Century Air,2/18/2012,United States,"Caldwell, NJ",Essex County Airport,405231N,0741653W,VMC,0,0,0,1,Caldwell, NJ,,,,,,
Ronnie Osburn,2/18/2012,United States,"Swainsboro, GA",Emanuel County Airport,323633N,0822212W,VMC,0,0,0,7,Swainsboro, GA,,,,,,
Don Emslie,2/18/2012,United States,"New Philadelphia, OH",Harry Clever Field Airport,402812N,0812511W,VMC,0,0,0,3,New Philadelphia, OH,,,,,,
"Red Sky Aviation, LLC",2/19/2012,United States,"Woodland, CA",Watts-Woodland,384626N,1215219W,VMC,0,0,0,2,Woodland, CA,,,,,,
NORTHCOTT THOMAS J,2/20/2012,United States,"Anchorage, AK",Lake Hood Strip,061105N,1495819W,VMC,0,0,0,4,Anchorage, AK,,,,,,
Hana Hou Air LLC,2/20/2012,United States,"Dillingham, HI",Dillingham Airport,213425N,1581129W,VMC,0,0,0,1,Dillingham, HI,,,,,,
Pilot,2/21/2012,United States,"Conroe, TX",Lone Star Executive Airport,030219N,0952452W,VMC,0,0,0,2,Conroe, TX,,,,,,
Pilot,2/24/2012,United States,"Cypress, TX",West Houston Airport,295735N,0954122W,VMC,0,0,1,1,Cypress, TX,,,,,,
Dean International Inc.,2/24/2012,United States,"Key West, FL",Key West International,024368N,0081452W,VMC,2,0,0,0,Key West, FL,,,,,,
Danny Lee Urquhart,2/25/2012,United States,"Dixie Valley, NV",Dixie Valley,395711N,1174937W,VMC,0,0,0,3,Dixie Valley, NV,,,,,,
SOUTHER FIELD AVIATION INC,2/25/2012,United States,"Americus, GA",Jimmy Carter Regional Airport,032638N,0841120W,VMC,0,0,0,1,Americus, GA,,,,,,
NICLAN CORP,2/26/2012,United States,"San Antonio, TX",Stinson Municipal Airport,291916N,0982735W,VMC,2,0,0,0,San Antonio, TX,,,,,,
United States Air Force Peterson Aero Club,2/27/2012,United States,"Denver, CO",Front Range Airport,039477N,1043235W,VMC,0,1,0,0,Denver, CO,,,,,,
Cleiton Taxi Aereo Ltda.,2/28/2012,Brazil,"Manaus, Brazil",Aeroporto Flores,003422S,0060116W,VMC,1,0,0,0,Manaus, Brazil,,,,,,
THOMAS VERNON E,2/29/2012,United States,"Melbourne, FL",Melbourne International,028534N,0803935W,VMC,3,0,0,0,Melbourne, FL,,,,,,
LESTER ROBERT E,3/1/2012,United States,"Boca Raton, FL",Boca Raton Airport,262242N,0080627W,VMC,0,0,0,1,Boca Raton, FL,,,,,,
WESTBROOK GEORGE J,3/1/2012,United States,"Belen, NM",Alexander Municipal Airport,034393N,1064611W,VMC,2,0,0,0,Belen, NM,,,,,,
B & S AIR INC,3/1/2012,United States,"Eufaula, AL",Weedon Field Airport,031574N,0085740W,VMC,0,0,0,2,Eufaula, AL,,,,,,
CALIFORNIA HIGHWAY PATROL,3/1/2012,United States,"Napa, CA",Napa County Airport,381228N,1221630W,VMC,0,0,0,2,Napa, CA,,,,,,
Steve B Maiman,3/2/2012,United States,"Corona, CA",Corona Municipal,335331N,0117365W,VMC,0,0,0,2,Corona, CA,,,,,,
"Cinco de Flyo, LLC",3/2/2012,United States,"Bedminster, NJ",Somerset Airport,403737N,0744031W,VMC,0,1,1,0,Bedminster, NJ,,,,,,
AIR WISCONSIN AIRLINES CORP,3/3/2012,United States,"HARRISBURG, PA",PHILADELPHIA INTL,040140N,0076580W,VMC,0,0,1,49,HARRISBURG, PA,,,,,,
STOWE JAMES L,3/4/2012,United States,"Fallbrook, CA",Fallbrook Community Airpark,332115N,0117153W,VMC,0,0,1,0,Fallbrook, CA,,,,,,
Amelia Reid Aviation LLC,3/4/2012,United States,"San Jose, CA",Reid-Hillview Airport,371958N,1214911W,VMC,0,0,0,2,San Jose, CA,,,,,,
STEPPLER JAMES M,3/5/2012,United States,"Brockton, MT",Sidney,475923N,0104436W,VMC,1,0,1,0,Brockton, MT,,,,,,
AERO AIR LLC,3/6/2012,United States,"Anchorage, AK",Ted Stevens Anchorage Int'l,061104N,0150116W,VMC,0,0,0,6,Anchorage, AK,,,,,,
Bristow Academy,3/6/2012,United States,"Titusville, FL",Training Area Echo,282730N,0805144W,VMC,0,3,0,0,Titusville, FL,,,,,,
AIRBORNE TACTICAL ADVANTAGE CO LLC,3/6/2012,United States,"Fallon, NV",Van Voorhees Field NAS Fallon,039254N,1184155W,IMC,1,0,0,0,Fallon, NV,,,,,,
GROSS THOMAS E,3/6/2012,United States,"Mooresville, NC",Miller Air Park,353630N,0804417W,VMC,0,0,0,1,Mooresville, NC,,,,,,
LABORATORY CORP OF AMERICA HOLDINGS,3/7/2012,United States,"Atlanta, GA",Dekalb Peachtree Airport,335233N,0084187W,VMC,0,0,0,1,Atlanta, GA,,,,,,
Jordan B. Straub,3/7/2012,United States,"Olive Branch, MS",Olive Branch Airport,345843N,0894712W,VMC,0,0,0,1,Olive Branch, MS,,,,,,
Glacier Aviation,3/8/2012,United States,"Randle, WA",Randal-Kiona,463415N,1215828W,VMC,0,0,0,2,Randle, WA,,,,,,
BOWDEN DAVID L,3/9/2012,United States,"Kelso, WA",Southwest Washington Regional,004675N,1225254W,VMC,0,0,0,1,Kelso, WA,,,,,,
CHEVRON USA INC,3/12/2012,United States,"Southern Timbalier 52CA,",Southern Timbalier 52CA,285640N,0901058W,VMC,0,0,0,1,Southern Timbalier 52CA,,,,,,,
SIGNS OF LIFE,3/13/2012,United States,"Kimberling, MO",None,363621N,0932624W,VMC,1,0,0,0,Kimberling, MO,,,,,,
Clayton McMartin,3/13/2012,United States,"St. Johns, AZ",St. Johns Industrial Air Park,034316N,1092243W,VMC,0,1,0,1,St. Johns, AZ,,,,,,
Skydown Skydiving,3/14/2012,United States,"Caldwell, ID",Caldwell Industrial Airport,433831N,0116389W,VMC,0,0,0,1,Caldwell, ID,,,,,,
LANDERS MORRIS JOHN JR,3/14/2012,United States,"Warrenton, VA",Warrenton-Fauquier Airport,383511N,0774238W,VMC,0,0,0,2,Warrenton, VA,,,,,,
JAKUBOWSKI BOGDAN,3/15/2012,United States,"Franklin, NC",Macon County Airport,351314N,0832532W,VMC,5,0,0,0,Franklin, NC,,,,,,
"Fresh Air, Inc.",3/15/2012,United States,"San Juan, PR",LUIS MUNOZ MARIN INTL,182627N,0655821W,VMC,2,0,0,0,San Juan, PR,,,,,,
HILTON HEAD FLYERS LLC,3/15/2012,United States,"Charleston, SC",Charleston Executive,032422N,0008006W,VMC,0,1,0,0,Charleston, SC,,,,,,
Jim Lafferty Aircraft Sales,3/15/2012,United States,"Panoche, CA",Hollister Municipal,363141N,1205035W,Unk,1,0,0,0,Panoche, CA,,,,,,
Sirius Flying LLC,3/15/2012,United States,"Palo Alto, CA",Palo Alto Airport,372737N,0122631W,VMC,0,1,0,0,Palo Alto, CA,,,,,,
HULSART BRUCE W,3/15/2012,United States,"Dover, TN",Short Creek Airport,036243N,0875930W,VMC,0,0,0,1,Dover, TN,,,,,,
MORRISON BRYANT B,3/15/2012,United States,"New Orleans, LA",Lakefront Airport,302034N,0090141W,VMC,0,0,0,3,New Orleans, LA,,,,,,
NICKEL D LLC,3/15/2012,United States,"Cheyenne Wells, CO",Private Field,384359N,0010275W,VMC,0,0,0,1,Cheyenne Wells, CO,,,,,,
MANATEE AVIATION ENTERPRISES INC,3/16/2012,United States,"Venice, FL",Venice Municiapl Airport,027417N,0822625W,VMC,0,0,0,2,Venice, FL,,,,,,
SMITH WILLIAM G SR,3/17/2012,United States,"Fort Worth, TX",Hicks Airfield,325552N,0972442W,VMC,0,0,0,3,Fort Worth, TX,,,,,,
TEETER BRIAN H,3/17/2012,United States,"Branson, MO",M. Graham Clark Taney County,363733N,0931345W,VMC,0,0,0,1,Branson, MO,,,,,,
STUART FLYING LLC,3/18/2012,United States,"Mexico, MO",Feutz Airfield,039916N,0091493W,VMC,1,0,1,0,Mexico, MO,,,,,,
"Dutch Wings, LLC.",3/18/2012,United States,"Arcola, TX",Houston Southwest Airport,293022N,0952837W,VMC,0,0,0,2,Arcola, TX,,,,,,
Flight Training Express,3/18/2012,United States,"New Smyrna, FL",Massey Ranch Airpark,285844N,0805530W,VMC,0,0,0,2,New Smyrna, FL,,,,,,
Donald Trizzino,3/18/2012,United States,"Clearwater, FL",Clearwater Air Park,275836N,0824531W,VMC,0,0,0,2,Clearwater, FL,,,,,,
Maine Coastal Flight,3/20/2012,United States,"Belfast, ME",Belfast Municipal Airport,442432N,0069111W,VMC,0,0,0,2,Belfast, ME,,,,,,
GRIMM WILLIAM H,3/20/2012,United States,"Santa Maria, CA",Santa Maria,034536N,1202335W,VMC,0,0,0,2,Santa Maria, CA,,,,,,
"Skyscrapers Aviation, LLC",3/20/2012,United States,"Indianapolis, IN",Eagle Creek Airpark,394951N,0861740W,VMC,0,0,0,1,Indianapolis, IN,,,,,,
SOUTHWEST AIRLINES CO,3/20/2012,United States,"Laverne, OK",West Woodward Airport,036422N,0995321W,VMC,0,0,1,141,Laverne, OK,,,,,,
7AC CLUB INC,3/20/2012,United States,"Clearwater, FL",Clearwater Air Park,275836N,0824531W,VMC,0,0,0,2,Clearwater, FL,,,,,,
Gerald Walter Pergande,3/21/2012,United States,"Pinconning, MI",Gross Airport,435049N,0084041W,VMC,0,0,1,0,Pinconning, MI,,,,,,
Cole Gaither,3/21/2012,United States,"Malvern, AR",Malvern Municipal,341959N,0924541W,VMC,0,0,0,2,Malvern, AR,,,,,,
"Executive Pilots, Inc",3/22/2012,United States,"Jean, NV",Jean Airport,035464N,1151928W,VMC,0,0,0,1,Jean, NV,,,,,,
O TOOLE AVIATION LLC,3/23/2012,United States,"Beaver Falls, PA",Beaver County Airport,404621N,0802329W,VMC,0,1,1,0,Beaver Falls, PA,,,,,,
BRUBAKER CLIFFORD E,3/23/2012,United States,"Butler, PA",Butler County Airport,404635N,0079574W,VMC,0,0,0,1,Butler, PA,,,,,,
