Air_Carrier,Event_Date,Country,Location,Airport_Name,Latitude,Longitude,Weather_Condition,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,City,State,Countries,Country_Fatal,Country_Uninjured,US_States,States_Fatal,States_Uninjured
PIVOTAL AVIATION LLC,2/21/2014,United States,"Saluda, SC",Saluda County,335536N,0814741W,VMC,0,0,0,2,Saluda, SC,,,,,,
EXECUTIVE AIRCRAFT STORAGE LLC,2/22/2014,United States,"LaGrange, GA",LaGrange-Callaway Airport,033019N,0085413W,VMC,3,0,0,0,LaGrange, GA,,,,,,
John D Forter,2/22/2014,United States,"Hollister, CA",HOLLISTER MUNI,365315N,1212458W,VMC,0,0,1,0,Hollister, CA,,,,,,
Michael Ronald Dennis,2/22/2014,United States,"Scappoose, OR",SCAPPOOSE INDUSTRIAL AIRPARK,454618N,1225143W,VMC,0,0,0,1,Scappoose, OR,,,,,,
HOLT JACKY JR,2/23/2014,United States,"Bountiful, UT",Skypark Airport,040525N,1115522W,VMC,0,0,0,1,Bountiful, UT,,,,,,
JB PIPER MERIDIAN LLC,2/23/2014,United States,"Alabaster, AL",Shelby County Airport,331040N,0086470W,VMC,0,0,0,5,Alabaster, AL,,,,,,
KNIGHT MARK J,2/24/2014,United States,"Maricopa, AZ",Ak-Chin Regional Airport,325916N,0111555W,VMC,1,0,0,0,Maricopa, AZ,,,,,,
MHOC LLC,2/25/2014,United States,"Gulf Shores, AL",Gulf Shores,030169N,0087423W,VMC,0,0,0,2,Gulf Shores, AL,,,,,,
Michael T Fishburn,2/25/2014,United States,"Santa Rosa, NM",SANTA ROSA ROUTE 66,345515N,1042026W,Unk,0,0,0,1,Santa Rosa, NM,,,,,,
TATONDUK OUTFITTERS LIMITED DBA,2/25/2014,United States,"Emmonak, AK",EMMONAK,624729N,1643015W,VMC,0,0,0,3,Emmonak, AK,,,,,,
Maui Island Air,2/27/2014,United States,"Lanai City, HI",LANAI AIRPORT,204623N,1565640W,VMC,3,0,3,0,Lanai City, HI,,,,,,
Paragon Inc,2/28/2014,United States,"Molokai, HI",Panda Airport,211842N,0157550W,VMC,0,0,0,1,Molokai, HI,,,,,,
Trinkle Ag Flying,2/28/2014,United States,"Caruthers, CA",Kenny's Cropdusting,363231N,1194551W,VMC,0,0,0,1,Caruthers, CA,,,,,,
YELLOW MEDIA GROUP INC,3/1/2014,United States,"Mayaguez, PR",Eugenio Maria de Hostos,181520N,0067854W,VMC,0,1,0,1,Mayaguez, PR,,,,,,
FARNELL R RICHARD TRUSTEE,3/3/2014,United States,"Truckee, CA",Truckee-Tahoe,391752N,0120043W,VMC,1,0,1,0,Truckee, CA,,,,,,
FAA FLYING CLUB INC,3/4/2014,United States,"Atlantic City, NJ",ATLANTIC CITY INTL,392727N,0743438W,VMC,0,1,0,0,Atlantic City, NJ,,,,,,
Delta Air Lines,3/5/2014,United States,"San Diego, CA",San Diego International,032446N,1171123W,VMC,0,0,1,186,San Diego, CA,,,,,,
Premier Fligth Academy,3/6/2014,United States,"Cleveland, OH",Burke Lakefront Airport,041313N,0081410W,VMC,0,0,0,1,Cleveland, OH,,,,,,
AIRCRAFT GUARANTY CORP TRUSTEE,3/7/2014,Qatar,"Al Khor, Qatar",Al Khor Airport,253746N,0513023E,VMC,1,0,0,0,Al Khor, Qatar,,,,,,
MORRIS AERO CLUB,3/7/2014,United States,"Pittstown, NJ",Sky Manor Airport,403357N,0745846W,VMC,0,0,0,1,Pittstown, NJ,,,,,,
BURCH LOREN W,3/7/2014,United States,"San Luis Obispo, CA",San Luis Obispo,035248N,1203834W,VMC,0,0,0,2,San Luis Obispo, CA,,,,,,
TREMBLEY SHARON L,3/8/2014,United States,"Mulberry, FL",South Lakeland,275546N,0082225W,VMC,0,1,0,0,Mulberry, FL,,,,,,
GONE BROKE LLC,3/8/2014,United States,"Fairhope, AL",H L SONNY CALLAHAN,302738N,0875237W,VMC,0,0,1,0,Fairhope, AL,,,,,,
JULEP ARBOR FLYING LLC,3/8/2014,United States,"Salisbury, NC",Rowan County Airport,353845N,0803113W,VMC,0,1,1,0,Salisbury, NC,,,,,,
STEVENS PETER W,3/8/2014,United States,"Salt Lake City, UT",South Valley Regional,403710N,1115934W,VMC,0,0,0,1,Salt Lake City, UT,,,,,,
KRIST AYRE LLC,3/8/2014,United States,"Charlottesville, VA",CHARLOTTESVILLE-ALBEMARLE,038823N,0078278W,VMC,0,0,0,1,Charlottesville, VA,,,,,,
NOVODRAN IGOR A,3/11/2014,United States,"Washington, PA",Washington County Airport,040810N,0801650W,VMC,1,0,0,0,Washington, PA,,,,,,
BIRDS IN PARADISE LLC,3/11/2014,United States,"Kekaha, HI",Port Allen Airport,215758N,0159406W,VMC,2,0,0,0,Kekaha, HI,,,,,,
Guardian Pharmacy LLC,3/13/2014,United States,"Rochester, NY",GREATER ROCHESTER INTL,004379N,0077402W,VMC,0,0,0,7,Rochester, NY,,,,,,
US AIRWAYS INC,3/13/2014,United States,"Philadelphia, PA",Philadelphia International,395138N,0751626W,VMC,0,0,0,154,Philadelphia, PA,,,,,,
HERR DAVID P,3/13/2014,United States,"West Union, OH",Alexander Salamon,038515N,0833359W,VMC,0,0,0,1,West Union, OH,,,,,,
Dean International Flight School,3/14/2014,United States,"Brooksville, FL",Hernando County,282825N,0822720W,VMC,0,0,0,2,Brooksville, FL,,,,,,
Marlin Moudy,3/14/2014,United States,"Stuart, FL",Witham Field Airport,027337N,0801612W,VMC,0,1,0,0,Stuart, FL,,,,,,
REILAND RON,3/14/2014,United States,"Broomfield, CO",ROCKY MOUNTAIN METROPOLITAN,395444N,0105744W,VMC,0,0,0,1,Broomfield, CO,,,,,,
SOUTHERN CALIFORNIA SOARING ACADEMY INC,3/15/2014,United States,"Wrightwood, CA",CRYSTAL,342134N,1173638W,VMC,0,1,0,1,Wrightwood, CA,,,,,,
JJ AERONAUTICS INC,3/16/2014,United States,"Zephyrhills, FL",ZEPHYRHILLS MUNI,281539N,0082746W,VMC,0,0,0,2,Zephyrhills, FL,,,,,,
American Airpower Heritage Flying Museum,3/17/2014,United States,"Glendale, AZ",Glendale Municpal,333139N,1121742W,VMC,0,0,0,4,Glendale, AZ,,,,,,
HELICOPTERS INC,3/18/2014,United States,"Seattle, WA",KOMO TV Heliport,473713N,1222055W,VMC,2,0,0,0,Seattle, WA,,,,,,
"Jeff Air Pilot Services, LLC",3/18/2014,United States,"Greenwood, IN",Greenwood Municipal Airport,393811N,0086319W,VMC,0,1,1,0,Greenwood, IN,,,,,,
SKYPARK INC,3/18/2014,United States,"Elizabethton, TN",ELIZABETHTON MUNI,036260N,0082936W,VMC,0,2,0,1,Elizabethton, TN,,,,,,
BEAVERS GLENN A,3/18/2014,United States,"Wichita Falls, TX",Kickapoo Downtown Airport,335138N,0982925W,VMC,0,1,0,1,Wichita Falls, TX,,,,,,
"Harvey and Rihn Aviation, TX",3/19/2014,United States,"Ruidoso, NM",SIERRA BLANCA RGNL,332756N,1053255W,VMC,0,0,0,2,Ruidoso, NM,,,,,,
CAE Oxford Aviation Academy,3/20/2014,United States,"Coolidge, AZ",COOLIDGE MUNI,032561N,1112527W,VMC,0,0,0,1,Coolidge, AZ,,,,,,
GREGORY G PAGE DDS PC,3/21/2014,United States,"Salt Lake City, UT",Salt Lake City Intl Airport,404637N,1115744W,VMC,0,0,0,1,Salt Lake City, UT,,,,,,
STOKES DONALD G,3/21/2014,United States,"Crockett, TX",NONE,311833N,0952658W,VMC,0,0,0,1,Crockett, TX,,,,,,
NORTHWEST AIRCRAFT LEASING CORP,3/21/2014,United States,"Philadelphia, PA",NORTHEAST PHILADELPHIA,040455N,0075038W,VMC,0,0,0,1,Philadelphia, PA,,,,,,
ADVERTISING AIR FORCE INC,3/23/2014,United States,"Saint Petersburg, FL",Albert Whitted Municiple,274551N,0823730W,VMC,0,0,0,4,Saint Petersburg, FL,,,,,,
St. Pete Aerial Advertising,3/23/2014,United States,"St. Petersburg, FL",Albert Whitted,274537N,0823745W,VMC,0,0,0,1,St. Petersburg, FL,,,,,,
EAST TENNESSEE PILOTS CLUB,3/23/2014,United States,"Knoxville, TN",Sky Ranch,035536N,0835727W,VMC,0,0,0,1,Knoxville, TN,,,,,,
CAE OXFORD AVIATION ACADEMY PHOENIX INC,3/23/2014,United States,"Mesa, AZ",FALCON FLD,332729N,0111445W,VMC,0,0,0,1,Mesa, AZ,,,,,,
ACES HIGH ESC. TOP DE AVIACAO CIVIL LTDA,3/23/2014,Brazil,"Ribeirao Preto, Brazil",Alem Paraiba,211550S,0474827W,Unk,2,0,0,0,Ribeirao Preto, Brazil,,,,,,
Pilot,3/23/2014,United States,"Menard, TX",Private,305437N,0994650W,VMC,0,0,0,1,Menard, TX,,,,,,
Emerito Guzman,3/26/2014,United States,"Patillas, PR",Patillas Airport,175831N,0066115W,VMC,1,0,0,0,Patillas, PR,,,,,,
NETJETS SALES INC,3/26/2014,United States,"Traverse City, MI",CHERRY CAPITAL,444427N,0853515W,VMC,0,0,0,4,Traverse City, MI,,,,,,
KERN COUNTY SHERIFFS DEPARTMENT,3/27/2014,United States,"Tehachapi, CA",TEHACHAPI MUNI,035638N,1182021W,IMC,0,0,0,3,Tehachapi, CA,,,,,,
HENRY DAVID W,3/27/2014,United States,"North Pole, AK",Dalrymple's Airport,642924N,0147150W,VMC,0,0,0,1,North Pole, AK,,,,,,
PEOPLES JIM M,3/29/2014,United States,"Highlands Ranch, CO",CENTENNIAL,039338N,0105011W,VMC,1,0,0,0,Highlands Ranch, CO,,,,,,
Hungarian Aircraft Technology & Service,3/29/2014,Hungary,"Szombathely, Hungary",Szombathely,047160N,0163759E,VMC,0,0,0,2,Szombathely, Hungary,,,,,,
THARP JAMES R,3/30/2014,United States,"Marathon, FL",The Florida Keys Marathon Arpt,244524N,0081048W,VMC,0,2,0,0,Marathon, FL,,,,,,
LOEDING LAWRENCE E,3/30/2014,United States,"Bay St Louis, MS",STENNIS INTL,030224N,0892717W,VMC,0,1,0,0,Bay St Louis, MS,,,,,,
JAMISON VERNON LEO,4/1/2014,United States,"Anacortes, WA",Anacortes,048308N,1223958W,VMC,0,0,0,1,Anacortes, WA,,,,,,
MILLER ROBERT A,4/2/2014,United States,"Roundup, MT",Roundup Airport,462830N,1083235W,VMC,0,0,0,1,Roundup, MT,,,,,,
HELPLING HELEN C,4/4/2014,United States,"Ocala, FL",Ocala International Airport,291039N,0821343W,VMC,0,0,1,0,Ocala, FL,,,,,,
MINUTEMAN AVIATION INC,4/4/2014,United States,"Missoula, MT",Missoula International,465459N,0114526W,VMC,0,2,0,0,Missoula, MT,,,,,,
"FIT AVIATION, LLC",4/4/2014,United States,"Melbourne, FL",Melbourne International Arpt,002869N,0803842W,VMC,0,0,0,2,Melbourne, FL,,,,,,
University of North Dakota Aerospace Foundation,4/5/2014,United States,"Larimore, ND",Larimore Municipal Airport,475425N,0973826W,VMC,0,0,0,2,Larimore, ND,,,,,,
WEISS THEODORE T,4/5/2014,United States,"Dunnellon, FL",Marion County Airport,029151N,0822316W,VMC,1,0,0,0,Dunnellon, FL,,,,,,
KING TERRY F,4/5/2014,United States,"La Belle, FL",La Belle Municipal,264426N,0812542W,VMC,0,1,0,0,La Belle, FL,,,,,,
Phoenix East Aviation LLC,4/7/2014,United States,"Daytona Beach, FL",Daytona Beach International,291048N,0081329W,VMC,0,0,0,2,Daytona Beach, FL,,,,,,
"Robert Bailey, JR",4/8/2014,United States,"Leesburg, VA",LEESBURG EXECUTIVE,039441N,0773327W,VMC,0,0,0,1,Leesburg, VA,,,,,,
AIRCRAFT ADVENTURES LLC,4/8/2014,United States,"Shaw Island, WA",Shaw Island,483432N,1225831W,VMC,0,0,0,2,Shaw Island, WA,,,,,,
"PHI Air Medical, LLC",4/9/2014,United States,"Albuquerque, NM",New Mexico Heliport,035516N,0106377W,VMC,0,3,0,0,Albuquerque, NM,,,,,,
LASER MAPPING SPECIALISTS INC,4/11/2014,United States,"Louisa, VA",Louisa County,038253N,0078538W,VMC,0,1,1,0,Louisa, VA,,,,,,
GENERAL LEASING OF MICHIGAN LLC,4/11/2014,United States,"West Chicago, IL",DuPage County Airport,415432N,0881457W,VMC,0,0,0,2,West Chicago, IL,,,,,,
CAMS Flight Inc.,4/11/2014,United States,"Leesburg, FL",LEESBURG INTL,284921N,0814826W,VMC,0,0,0,1,Leesburg, FL,,,,,,
DEMARCO ALBERT,4/12/2014,United States,"Cookson, OK",Tenkiller,354049N,0945323W,VMC,0,0,2,0,Cookson, OK,,,,,,
CANAM AVIATORS INC,4/12/2014,United States,"Blountstown, FL",Calhoun County Airport,302913N,0085649W,VMC,0,0,0,1,Blountstown, FL,,,,,,
NORTH CAROLINA SOARING ASSOCIATION,4/13/2014,United States,"Bunn, NC",Crooked Creek Airport,035565N,0781432W,VMC,0,0,1,0,Bunn, NC,,,,,,
V & A AVIATION LLC,4/18/2014,United States,"Santa Monica, CA",SANTA MONICA MUNI,034058N,0118275W,VMC,0,0,0,4,Santa Monica, CA,,,,,,
Robert I. Goodwin,4/19/2014,United States,"Kalamazoo, MI",Newman's Airport,421720N,0085450W,VMC,0,2,0,0,Kalamazoo, MI,,,,,,
Richard Skevington,4/19/2014,United States,"Somerville, NJ",Somerset Airport,403734N,0744013W,VMC,0,0,0,2,Somerville, NJ,,,,,,
MURPHY PATRICK M,4/19/2014,United States,"Sturgis, MI",Kirsch Municipal Airport,414848N,0852620W,VMC,0,0,0,2,Sturgis, MI,,,,,,
PANUSKI WILLIAM R,4/20/2014,United States,"Concord, NH",CONCORD MUNI,043125N,0071305E,VMC,0,1,0,0,Concord, NH,,,,,,
Anthony Degennaro,4/21/2014,United States,"Bullhead City, AZ",Sun Valley,003503N,1143337W,VMC,0,1,0,0,Bullhead City, AZ,,,,,,
BOSTON AVIATION LEASING II LLC,4/21/2014,United States,"Sanford, FL",ORLANDO SANFORD INTL,284637N,0081146W,VMC,0,1,0,0,Sanford, FL,,,,,,
Pilot,4/21/2014,United States,"Peyton, CO",MEADOW LAKE,039148N,1042848W,VMC,0,0,0,1,Peyton, CO,,,,,,
"Redstone Arsenal Flying Activity, BLDG 4828",4/22/2014,United States,"Huntsville, AL",Huntsville International,343824N,0864648W,VMC,0,0,0,2,Huntsville, AL,,,,,,
NOT SPECIFIED,4/24/2014,United States,"Newark, NJ",NEWARK LIBERTY INTL,040425N,0074933W,VMC,0,0,0,0,Newark, NJ,,,,,,
UNITED FLIGHT SYSTEMS INC,4/25/2014,United States,"Spring, TX",DAVID WAYNE HOOKS MEMORIAL,030348N,0953311W,VMC,0,0,0,4,Spring, TX,,,,,,
EID-CO,4/25/2014,United States,"Liberty, MO",ROOSTERVILLE,391734N,0942632W,VMC,0,0,0,2,Liberty, MO,,,,,,
Genesis Flight Academy,4/25/2014,United States,"Llano, TX",LLANO MUNI,304637N,0983943W,VMC,0,0,0,3,Llano, TX,,,,,,
SANDERS AIRCRAFT INC,4/27/2014,United States,"Richmond, CA",Eagles Nest,037593N,1222451W,VMC,1,0,0,2,Richmond, CA,,,,,,
BAAK JEROME A,4/27/2014,United States,"Sumter, SC",Sumter Airport,335913N,0802216W,VMC,0,1,0,0,Sumter, SC,,,,,,
HIGH EXPOSURE INC,4/27/2014,United States,"Woodbine, NJ",Woodbine,391314N,0744758W,VMC,0,0,0,2,Woodbine, NJ,,,,,,
"Chilhowee Soaring Association, Inc",4/27/2014,United States,"Benton, TN",Chilhowee Gliderport,351321N,0084354W,VMC,0,0,1,0,Benton, TN,,,,,,
ZTJ AVIATION LLC,4/28/2014,United States,"Hazlehurst, GA",HAZLEHURST,315135N,0823524W,VMC,0,0,0,3,Hazlehurst, GA,,,,,,
USDA APHIS WS ATOC,4/29/2014,United States,"Bullfrog, UT",Bullfrog Basin Airport,373358N,0110570W,VMC,0,0,2,0,Bullfrog, UT,,,,,,
ARI BEN AVIATOR INC,4/29/2014,United States,"Fort Pierce, FL",St Lucie County International,272951N,0802222W,VMC,0,0,0,2,Fort Pierce, FL,,,,,,
Don Thompson,4/29/2014,United States,"Rexburg, ID",Rexburg-Madison,043502N,1114818W,VMC,0,2,0,0,Rexburg, ID,,,,,,
AGUSTAWESTLAND PHILADELPHIA CORP,5/1/2014,United States,"Lumberton, NJ",SOUTH JERSEY RGNL,395620N,0745027W,VMC,0,0,0,2,Lumberton, NJ,,,,,,
ADVANCED HELICOPTER CONCEPTS INC,5/1/2014,United States,"Frederick, MD",FREDERICK MUNI,039253N,0772228W,VMC,0,2,0,0,Frederick, MD,,,,,,
138883 Canada Inc (Brucelandair Interna,5/3/2014,Colombia,"Santander, Colombia",Bucaramanga,006165N,0724428W,Unk,2,0,0,0,Santander, Colombia,,,,,,
Lewis Arenzana,5/3/2014,United States,"Connersville, IN",Mettel Field Airport,394140N,0085756W,VMC,0,1,0,0,Connersville, IN,,,,,,
KING MARK A,5/4/2014,United States,"Bardwell, KY",Private,365021N,0885945W,VMC,0,2,0,0,Bardwell, KY,,,,,,
AERO-GRAPHICS INC,5/5/2014,United States,"Rock Springs, WY",ROCK SPRINGS-SWEETWATER COUNTY,413539N,0109355W,VMC,0,0,0,2,Rock Springs, WY,,,,,,
Washin Air Inc.,5/6/2014,United States,"Ho'olehua, HI",Molokai,211012N,0157410W,VMC,0,0,0,1,Ho'olehua, HI,,,,,,
DAYTON PILOTS CLUB INC,5/7/2014,United States,"Covington, TN",COVINGTON MUNI,035350N,0893514W,VMC,0,0,1,0,Covington, TN,,,,,,
SMITH CHRISTOPHER,5/7/2014,United States,"Lancaster, OH",FAIRFIELD COUNTY,394513N,0824028W,VMC,0,0,0,2,Lancaster, OH,,,,,,
Embry Riddle Aeronautical University,5/9/2014,United States,"Deland, FL",DeLand Municipal Airport,002941N,0081171W,VMC,0,0,0,2,Deland, FL,,,,,,
DC Skydiving,5/9/2014,United States,"Warrenton, VA",WARRENTON AIR PARK,383920N,0774714W,VMC,0,0,0,2,Warrenton, VA,,,,,,
MELTON WILLIAM H JR,5/9/2014,United States,"Lincoln, NE",LINCOLN,040515N,0964521W,VMC,0,0,0,1,Lincoln, NE,,,,,,
CAPITAL CITY JET CENTER INC,5/9/2014,United States,"Columbus, OH",Rickenbacker,394857N,0825557W,VMC,0,0,0,4,Columbus, OH,,,,,,
PAPWEB CORP,5/9/2014,United States,"Brooksville, FL",HERNANDO COUNTY,282825N,0822720W,VMC,0,0,0,2,Brooksville, FL,,,,,,
American Aviation Inc,5/10/2014,United States,"Page, AZ",PAGE MUNI,036562N,1112659W,VMC,1,5,1,0,Page, AZ,,,,,,
CHAPARRAL EQUIPMENT LEASING LLC,5/10/2014,United States,"San Antonio, TX",Stinson Municipal Airport,292013N,0982816W,VMC,0,0,1,0,San Antonio, TX,,,,,,
Wild Wingdom LLC,5/11/2014,United States,"Indian Trail, NC",Goose Creek Airport,035716N,0803514W,VMC,0,1,0,3,Indian Trail, NC,,,,,,
"Drelat Air Lines, Inc.",5/12/2014,United States,"Boston, MA",Boston Logan International,422148N,0071123W,VMC,0,0,0,166,Boston, MA,,,,,,
Georgia Jet,5/13/2014,United States,"Sugar Land, TX",Sugar Land Regional Airport,293739N,0953926W,Unk,0,0,0,2,Sugar Land, TX,,,,,,
Williams Ag Service,5/13/2014,United States,"Biggs, CA",Jones Ag-Viation Airport,392735N,1214146W,VMC,0,0,0,1,Biggs, CA,,,,,,
Bruce Lape,5/13/2014,United States,"Nampa, ID",Nampa Municipal Airport,433432N,1163114W,VMC,0,0,0,2,Nampa, ID,,,,,,
CHESAPEAKE AVIATION SERVICES LLC,5/14/2014,United States,"Norfolk, VA",Hampton Roads Executive Airpor,364649N,0762656W,VMC,0,0,0,1,Norfolk, VA,,,,,,
KING AIR INC,5/14/2014,United States,"South Naknek, AK",SOUTH NAKNEK NR 2,584216N,0157030W,VMC,0,0,0,3,South Naknek, AK,,,,,,
HAGELAND AVIATION SERVICES INC,5/15/2014,United States,"Aniak, AK",ANIAK,613433N,0159326W,VMC,0,0,0,1,Aniak, AK,,,,,,
HEINZ JOHN,5/16/2014,United States,"Tucson, AZ",Ryan Field Airport,032819N,1111017W,VMC,0,0,0,1,Tucson, AZ,,,,,,
SANTSCHI CHRIS A,5/16/2014,United States,"Bonne Terre, MO",Bonne Terre Municipal,003700N,0009000W,VMC,0,0,0,1,Bonne Terre, MO,,,,,,
PONDEROSA AVIATION INC,5/17/2014,United States,"Fort Huachuca, AZ",SIERRA VISTA MUNI-LIBBY AAF,313511N,1102024W,VMC,1,0,1,0,Fort Huachuca, AZ,,,,,,
TOBUL JAMES R,5/17/2014,United States,"Atlanta, GA",Dekalb-Peachtree Airport,335232N,0084187W,VMC,0,0,0,1,Atlanta, GA,,,,,,
PAPILLON AIRWAYS INC,5/18/2014,United States,"Peach Springs, AZ",GRAND CANYON WEST,355933N,1134652W,VMC,1,0,0,0,Peach Springs, AZ,,,,,,
GRUND JOSEPH R,5/18/2014,United States,"Georgetown, DE",SUSSEX COUNTY,384116N,0752130W,VMC,0,0,1,0,Georgetown, DE,,,,,,
SYMINGTON MANAGEMENT SERVICES LLC,5/18/2014,United States,"Santa Fe, NM",SANTA FE MUNI,035370N,0106521W,VMC,0,0,0,1,Santa Fe, NM,,,,,,
EVERGREEN SOARING INC,5/18/2014,United States,"Arlington, WA",Arlington,048938N,0122954W,VMC,0,0,0,2,Arlington, WA,,,,,,
Heartland Aviation Inc.,5/19/2014,United States,"Yuma, CO",Yuma Municipal Airport,040615N,1024247W,VMC,0,0,0,1,Yuma, CO,,,,,,
ONEIL ASHLEY J,5/19/2014,United States,"Douglass, KS",Private,373051N,0965934W,VMC,0,0,0,1,Douglass, KS,,,,,,
Westwind Aviation Incorporated,5/19/2014,United States,"Buckeye, AZ",Buckeye Municipal,332250N,0112330W,VMC,0,0,0,1,Buckeye, AZ,,,,,,
ADVENTURES IN FLIGHT II LLC,5/20/2014,United States,"Stevensville, MD",BAY BRIDGE,385835N,0761948W,VMC,0,0,0,1,Stevensville, MD,,,,,,
HELICOPTERS INC,5/21/2014,United States,"Beverly, MA",Beverly Municipal Airport,042353N,0705458W,VMC,0,0,0,2,Beverly, MA,,,,,,
WIGGINS AIRWAYS INC,5/21/2014,United States,"Warren, VT",WARREN-SUGARBUSH,004473N,0724937W,VMC,0,0,0,1,Warren, VT,,,,,,
MCDONALD KEVIN,5/21/2014,United States,"Vacaville, CA",Nut Tree Airport,382224N,1215725W,VMC,0,1,0,1,Vacaville, CA,,,,,,
"Clear Skies Aviation, LLC",5/21/2014,United States,"Medicine Lake, MT",SHER-WOOD,483048N,0104237W,VMC,0,0,0,1,Medicine Lake, MT,,,,,,
PETERSEN ROBERT C,5/21/2014,United States,"Cameron Park, CA",CAMERON AIRPARK,038410N,0120590W,VMC,0,0,0,1,Cameron Park, CA,,,,,,
RAWSON JOHN V JR,5/21/2014,United States,"Princeton, NJ",Princeton,402357N,0743932W,VMC,0,0,1,0,Princeton, NJ,,,,,,
OLDHAM C RICHARD,5/22/2014,United States,"Parker, AZ",AVI SUQUILLA,003480N,0114168W,VMC,0,0,0,2,Parker, AZ,,,,,,
CREED MICHAEL L,5/22/2014,United States,"Hopkinsville, KY",Hopkinsville-Christian County,365117N,0087288W,VMC,0,1,1,0,Hopkinsville, KY,,,,,,
WENDELBURG KEVIN R,5/22/2014,United States,"Gulf Shores, AL",JACK EDWARDS,030179N,0874032W,VMC,0,0,1,0,Gulf Shores, AL,,,,,,
"Warbirds on Revue, Inc.",5/22/2014,United States,"Petersburg, VA",DINWIDDIE COUNTY,037120N,0773020W,VMC,0,0,0,2,Petersburg, VA,,,,,,
Channel Islands Helicopters,5/23/2014,United States,"Santa Paula, CA",SANTA PAULA,341937N,0119448W,VMC,1,0,0,0,Santa Paula, CA,,,,,,
HOPLER HAROLD W,5/23/2014,United States,"Helena, MT",Helena Regional Airport,463621N,1115921W,VMC,0,0,0,1,Helena, MT,,,,,,
SKY BLUE AVIATION LLC,5/23/2014,United States,"Harrisburg, PA",Capital City Airport,040132N,0076515W,VMC,0,0,0,2,Harrisburg, PA,,,,,,
John Bake,5/23/2014,United States,"Roundup, MT",Private Airstrip,462557N,1082713W,VMC,0,0,0,2,Roundup, MT,,,,,,
Franklin R. Miles,5/24/2014,United States,"Lewiston, ID",Lewiston-Nex Perce County Airp,462226N,0117055W,VMC,0,0,0,2,Lewiston, ID,,,,,,
BURK RICHARD F,5/24/2014,United States,"Perkasie, PA",Pennridge Airport,402321N,0751726W,VMC,0,1,0,0,Perkasie, PA,,,,,,
David D. Campbell,5/24/2014,United States,"La Pointe, WI",Major Gilbert Field,464720N,0904530W,VMC,0,2,0,1,La Pointe, WI,,,,,,
Lynn Cary,5/24/2014,United States,"Hunter, AR",Rabbit Ridge airstrip,003542N,0091529W,VMC,0,0,0,1,Hunter, AR,,,,,,
Pilot,5/24/2014,United States,"Midlothian, TX",Eagle's Nest Estates Airport,323046N,0096536W,VMC,0,0,1,0,Midlothian, TX,,,,,,
AMIGO BANDING SERVICES INC,5/24/2014,United States,"Dallas, TX",Dallas Executive,324416N,0096589W,VMC,0,0,0,4,Dallas, TX,,,,,,
THOMAS SPENCER S,5/25/2014,United States,"Harpswell, ME",Farr Field Airport,434647N,0070056W,VMC,0,0,0,2,Harpswell, ME,,,,,,
DODD LEE P JR,5/26/2014,United States,"Tehachapi, CA",Tehachapi,003586N,1182621W,VMC,0,0,0,2,Tehachapi, CA,,,,,,
PILOTS CHOICE AVIATION INC,5/26/2014,United States,"Rockdale, TX",H.H. Coffield Regional,030393N,0965957W,VMC,0,0,0,4,Rockdale, TX,,,,,,
URBANCZYK KIRK M,5/26/2014,United States,"Cedar Valley, UT",Cedar Valley,402126N,0011214W,VMC,0,0,0,1,Cedar Valley, UT,,,,,,
SKYPARK INC,5/27/2014,United States,"Wadsworth, OH",WELTZIEN SKYPARK,041148N,0814648W,VMC,0,0,0,2,Wadsworth, OH,,,,,,
Soaring Society of Boulder Inc.,5/28/2014,United States,"Boulder, CO",Boulder Municipal Airport,040225N,1051454W,VMC,0,1,0,0,Boulder, CO,,,,,,
CHAUTAUQUA AIRLINES INC,5/28/2014,United States,"Traverse City, MI",CHERRY CAPITAL,444430N,0853454W,VMC,0,0,0,45,Traverse City, MI,,,,,,
Canyonland Skydive,5/28/2014,United States,"Moab, UT",CANYONLANDS FIELD,384517N,1094517W,VMC,0,0,0,1,Moab, UT,,,,,,
GLOBAL POSITIONING SERVICES INC,5/28/2014,United States,"Chugiak, AK",Birchwood,061254N,0149303W,VMC,1,0,0,0,Chugiak, AK,,,,,,
Pilot,5/29/2014,United States,"Wagoner, OK",Hefner-Easley Airport,035572N,0952251W,VMC,0,0,1,0,Wagoner, OK,,,,,,
MAINE HELICOPTERS INC,5/30/2014,United States,"Whitefield, ME",MAINE HELICOPTERS,044127N,0693616W,VMC,0,1,0,0,Whitefield, ME,,,,,,
Westwind Helicopters,5/30/2014,United States,"Eugene Island 182A,",EI 182A,295810N,0092710W,VMC,0,0,0,6,Eugene Island 182A,,,,,,,
Benjamin Armen,5/30/2014,United States,"Boerne, TX",Boerne Stage,294322N,0984140W,VMC,0,0,0,2,Boerne, TX,,,,,,
PEGASUS AVIATION GROUP LLC,5/30/2014,United States,"Bluffton, OH",Bluffton Airport,405326N,0835246W,VMC,0,0,0,1,Bluffton, OH,,,,,,
Amritpal Singh,5/31/2014,United States,"Watkins, CO",FRONT RANGE,039482N,1043540W,IMC,2,0,0,0,Watkins, CO,,,,,,
KACHEMAK BAY FLYING SERVICE INC,5/31/2014,United States,"Temple, TX",Temple Central Texas Regional,003197N,0972428W,VMC,0,0,0,2,Temple, TX,,,,,,
